Genre,Artist
pop,Taylor Swift
pop,Drake
pop,SZA
pop,The Weeknd
pop,Ariana Grande
pop,Billie Eilish
pop,Bruno Mars
pop,Sabrina Carpenter
pop,Lil Wayne
pop,Post Malone
rock,Genki Rockets
rock,Gene Rockwell
rock,Linkin Park
rock,Hozier
rock,Arctic Monkeys
rock,Imagine Dragons
rock,The Neighbourhood
rock,The Beatles
rock,Radiohead
rock,Deftones
hip hop,Kendrick Lamar
hip hop,Drake
hip hop,"Tyler, The Creator"
hip hop,Future
hip hop,Kanye West
hip hop,Lil Wayne
hip hop,Lil Baby
hip hop,Eminem
hip hop,21 Savage
hip hop,$uicideboy$
jazz,Michael Bublé
jazz,Nat King Cole
jazz,Dean Martin
jazz,Vince Guaraldi Trio
jazz,Ella Fitzgerald
jazz,Leslie Odom Jr.
jazz,Louis Armstrong
jazz,"Earth, Wind & Fire"
jazz,Norah Jones
jazz,Otis Redding
classical,Johann Sebastian Bach
classical,Berliner Philharmoniker
classical,Ludovico Einaudi
classical,Pyotr Ilyich Tchaikovsky
classical,London Symphony Orchestra
classical,Trans-Siberian Orchestra
classical,Wolfgang Amadeus Mozart
classical,Frédéric Chopin
classical,Sir Simon Rattle
classical,Ludwig van Beethoven
